Font
====
'00', Address = 0x0000, SpriteData = 00 00 00 00 00 00 00 00 
'00', Address = 0x0000, SpriteData = 00 10 10 10 10 00 10 00 
'00', Address = 0x0000, SpriteData = 00 24 24 00 00 00 00 00 
'00', Address = 0x0000, SpriteData = 00 24 7e 24 24 7e 24 00 
'00', Address = 0x0000, SpriteData = 00 08 3e 28 3e 0a 3e 08 
'00', Address = 0x0000, SpriteData = 00 62 64 08 10 26 46 00 
'00', Address = 0x0000, SpriteData = 00 10 28 10 2a 44 3a 00 
'00', Address = 0x0000, SpriteData = 00 08 10 00 00 00 00 00 
'00', Address = 0x0000, SpriteData = 00 04 08 08 08 08 04 00 
'00', Address = 0x0000, SpriteData = 00 20 10 10 10 10 20 00 
'00', Address = 0x0000, SpriteData = 00 00 14 08 3e 08 14 00 
'00', Address = 0x0000, SpriteData = 00 00 08 08 3e 08 08 00 
'00', Address = 0x0000, SpriteData = 00 00 00 00 00 08 08 10 
'00', Address = 0x0000, SpriteData = 00 00 00 00 3e 00 00 00 
'00', Address = 0x0000, SpriteData = 00 00 00 00 00 18 18 00 
'00', Address = 0x0000, SpriteData = 00 00 02 04 08 10 20 00 
'00', Address = 0x0000, SpriteData = 00 3c 46 4a 52 62 3c 00 
'00', Address = 0x0000, SpriteData = 00 18 28 08 08 08 3e 00 
'00', Address = 0x0000, SpriteData = 00 3c 42 02 3c 40 7e 00 
'00', Address = 0x0000, SpriteData = 00 3c 42 0c 02 42 3c 00 
'00', Address = 0x0000, SpriteData = 00 08 18 28 48 7e 08 00 
'00', Address = 0x0000, SpriteData = 00 7e 40 7c 02 42 3c 00 
'00', Address = 0x0000, SpriteData = 00 3c 40 7c 42 42 3c 00 
'00', Address = 0x0000, SpriteData = 00 7e 02 04 08 10 10 00 
'00', Address = 0x0000, SpriteData = 00 3c 42 3c 42 42 3c 00 
'00', Address = 0x0000, SpriteData = 00 3c 42 42 3e 02 3c 00 
'00', Address = 0x0000, SpriteData = 00 00 00 10 00 00 10 00 
'00', Address = 0x0000, SpriteData = 00 00 10 00 00 10 10 20 
'00', Address = 0x0000, SpriteData = 00 00 04 08 10 08 04 00 
'00', Address = 0x0000, SpriteData = 00 00 00 3e 00 3e 00 00 
